Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",166.800000,-105.000000,0.000000,top
"C2","100n","C_0402_1005Metric",160.891200,-108.081400,-90.000000,top
"C3","100n","C_0402_1005Metric",158.200000,-116.615800,180.000000,top
"C4","100n","C_0402_1005Metric",149.145400,-107.524600,90.000000,top
"C5","100n","C_0402_1005Metric",152.200000,-105.100000,0.000000,top
"C6","10n","C_0402_1005Metric",148.419800,-111.894000,90.000000,top
"C7","1u","C_0402_1005Metric",146.438600,-113.875200,180.000000,top
"C8","1u","C_0402_1005Metric",146.438600,-115.450000,180.000000,top
"C9","100n","C_0402_1005Metric",150.745400,-105.624600,90.000000,top
"C10","10p","C_0402_1005Metric",145.956000,-109.630800,90.000000,top
"C11","10p","C_0402_1005Metric",145.956000,-111.942200,-90.000000,top
"C12","10u","C_0603_1608Metric",175.721800,-108.746400,-90.000000,top
"C13","22u","C_0603_1608Metric",167.954600,-109.925400,-90.000000,top
"D1","DIODE","D_0603_1608Metric",178.721400,-109.967600,180.000000,top
"D2","DIODE","D_0603_1608Metric",178.721800,-107.171400,180.000000,top
"FB1","120R@100MHz","L_0603_1608Metric",148.394400,-114.662600,-90.000000,top
"J1","Conn_01x08_Female","PinSocket_1x08_P2.54mm_Horizontal",163.975000,-96.200000,-90.000000,top
"J2","Conn_01x08_Female","PinSocket_1x08_P2.54mm_Horizontal",137.122600,-104.413400,0.000000,top
"J3","Conn_01x05_Female","PinSocket_1x05_P2.54mm_Horizontal",172.854600,-135.175400,180.000000,top
"J4","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",179.945000,-117.205000,90.000000,top
"J5","Conn_01x08_Female","PinSocket_1x08_P2.54mm_Horizontal",143.735800,-126.033400,90.000000,top
"J6","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Horizontal",172.500000,-95.750000,180.000000,top
"J7","Conn_01x02_Female","PinSocket_1x02_P2.54mm_Vertical",180.579600,-99.850000,0.000000,top
"L1","4.7u","L_0805_2012Metric",169.004600,-107.330800,180.000000,top
"R1","10k","R_0402_1005Metric",140.735400,-96.924600,0.000000,top
"R2","10k","R_0402_1005Metric",173.100000,-116.700000,90.000000,top
"R3","100k","R_0402_1005Metric",170.254600,-109.675400,90.000000,top
"SW1","SW_SPDT","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile",135.345400,-92.524600,0.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",155.125400,-110.824600,0.000000,top
"U2","TPS62162DSG","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias",172.754600,-107.675400,180.000000,top
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",143.543000,-110.799200,-90.000000,top
